name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r,sSFR_Ha,sSFR_ssp,Compactness,Morphology_Index,Ellipticity,Z_per_Age,vel_sigma_norm,Central_Brightness,SFR_Consistency,Mass_to_Light,Bulge_Proxy,Mass_Category,Age_Category,Morphology_Category,SFR_Category,Compactness_Quantile,Mass_Category_Ord,Age_Category_Ord,SFR_Category_Ord,Morph_Disco,Morph_Intermedia,Morph_Esferoidal
manga-10001-12701,133.371090612,57.5984251446,-1.3471179707606233,-0.007420134383947553,-0.030893606913288397,-0.9490074187724706,-0.9495820148566751,-1.1992790951988466,-1.5123943653993406,-0.9719041533183644,-1.1503607773010691,-1.270759434105006,0.8205076424312986,0.5113083388588094,2.1975336964466723,0.8076253631953512,-9.57636994023135,-9.207144354741477,7.589938155609657,2.4880000000000004,0.664667,-0.07998182589026127,0.44848813943699506,10.397268780196725,0.36922558548987333,16.03983277083683,0.183363736269096,Enana,Joven,Disco,Moderada,1.0,0,0,1,True,False,False
manga-10001-12702,133.685669869,57.4802503218,-0.6744160776489817,-0.35082604969529374,-0.2955918154035953,-0.6324893687182239,-0.6310833353367133,-0.4879933859066832,-0.8935042354229932,0.15446628956377723,-1.0841973775550502,-0.7987326147804726,0.4976574735382127,0.023990505607080524,2.2032853258170078,1.0683439895048847,-10.336201628375928,-9.6635936339012,7.366996545213839,2.798,0.49178299999999997,-0.062061439371880744,0.4462468425028073,9.540448110259035,0.6726079944747279,16.401683428416092,0.34581285601648715,Intermedia,Joven,Disco,Moderada,0.0,1,0,1,True,False,False
manga-10001-12703,136.017159969,57.0923291779,-0.09444380374616816,-0.2079739945123005,0.16546645523623593,-0.07534431158132748,-0.07175354226523115,-1.677090568364891,-0.3851016905911587,-0.004852024453823941,-0.7407292088016981,-0.3043887178697148,0.7402278191121562,0.7200331845917946,0.6214326218108701,0.1766398299451717,-10.036111524049803,-9.909829175210767,7.844143624532541,3.544,0.794251,-0.04543728701153614,0.28238525109691975,8.716518214262242,0.126282348839036,16.412642466133512,0.4969216041895115,Intermedia,Joven,Intermedia,Moderada,1.0,1,0,1,False,True,False
manga-10001-12704,133.989966869,57.6779676669,0.12241258445089559,0.06938721724159995,0.7020075209090729,-0.7591008364153133,-0.75843657405655,-1.8680328728411202,-1.38603148224391,1.4306947203822526,-0.7491928467645848,-0.8712254673819283,-0.08205672023247791,0.14901578333656226,0.7044076545261908,-0.8334607161448321,-10.097230707324668,-9.973348830067113,6.687104998018076,4.018,0.85,-0.06355073181727126,0.2948528056339746,6.082375282850519,0.12388187725755401,15.507229012183736,0.2139731966348669,Intermedia,Joven,Disco,Moderada,0.0,1,0,1,True,False,False
manga-10001-12705,136.75137451,57.4514369241,-0.6728914485913893,-0.14775143376230127,-0.15102522644282443,-0.10735815359796592,-0.10383688624086937,-0.6463101306622439,-1.0467960536577599,-0.3170049622726975,-1.1689733122103767,-1.2398927084834426,1.1094930401717156,1.1993012828632303,2.095985868869604,0.19927768433564658,-9.630996289861587,-9.645735735295066,7.9522983632658235,2.881,0.5285489999999999,-0.07880947286707338,0.4315458959067519,9.068294044855442,0.014739445433479992,16.399206872629513,0.3028141878795501,Intermedia,Joven,Disco,Moderada,2.0,1,0,1,True,False,False
manga-10001-1901,133.330028009,57.0411553708,-0.9335513636833522,-0.19032150465146433,-0.1188193996069093,-1.406272440786715,-1.410230427522033,-1.2065079310623772,-1.5395273078651341,-1.9242943330601912,0.027671177640710826,0.3478912900470854,-0.7537713643442864,-0.20687665596354754,0.3150560626638079,1.4930744826888618,-10.019325641153648,-9.96430062616241,7.5909309370864175,2.749,0.666536,-0.02709114573291618,0.2563742127621608,12.117111032663928,0.05502501499123802,16.007376651326712,0.1769760705331929,Enana,Media,Disco,Moderada,1.0,0,1,1,True,False,False
manga-10001-1902,134.193923352,56.7867469988,1.1509855611703241,-0.33013314289280027,-0.3154519067294448,-0.039196454634527846,-0.03553645829524856,0.5651082429087749,0.9162686473993168,-0.10390502797525028,1.6921039979618102,1.2603904375911887,-2.0437650108212773,-1.3737172110634714,-1.188008072685337,-0.6769444769311128,-12.869886384375679,-12.013346537040238,7.912034635729531,3.854,0.266498,-0.007645236153306411,0.07812384490457594,7.966549257035817,0.8565398473354402,16.09655306022107,0.8449056821117831,Intermedia,Vieja,Esferoidal,Pasiva,1.0,1,2,0,False,False,True
manga-10001-3701,132.465646765,57.1437279024,-0.7184970024453269,-0.5003297340439241,-0.019697223683961713,-0.4864175373443282,-0.4842555140258447,0.26048505773854447,1.2619411062629933,-2.0670210422237467,0.27524817691037784,-0.46307902903710746,-1.1486977143169947,-1.6398773199492291,-1.1714760225968728,1.0634536385802424,-13.049363344555713,-10.976388471125365,8.352297062482135,3.0730000000000004,0.328619,-0.047850869404017664,0.08078921717200666,11.725431220029295,2.07297487343035,16.508374701776283,0.9031543961927743,Intermedia,Media,Esferoidal,Pasiva,2.0,1,1,0,False,False,True
manga-10001-3702,132.912768243,57.1074235568,1.807243784389963,-0.2885284581968867,-0.030893606913288397,-0.48696019979558214,-0.48480076925236953,1.4145231315798374,1.2760203609478897,0.005142759832082502,0.6722278285300188,0.8145685584264776,0.1603117605219776,0.5462167160295262,-1.1201984790215986,-0.18282629646083773,-9.892705521153903,-10.00520070351321,7.5396438174679865,4.457999999999999,0.103742,-0.016387329327774744,0.087054897806182,8.335104362303712,0.1124951823593069,15.964092199852368,0.9051482536448665,Intermedia,Media,Esferoidal,Moderada,1.0,1,1,1,False,False,True
manga-10001-3703,134.591498946,57.6849653262,-0.5654072500749022,-0.44642348442704793,-0.12960169516447362,-0.8359174099966546,-0.835737617973844,-1.0304337277314954,-0.5879212779693289,-1.6668339196396764,-1.0453538047304476,-0.8935820432876619,0.40902649337509006,0.4239835360809529,1.7077431007487216,1.0879588367866948,-9.74828857973374,-9.569965035584373,7.942485897699502,3.057,0.621715,-0.06526960220549695,0.39893173645592533,11.387435148917291,0.17832354414936719,16.25692196543845,0.4355433051805807,Intermedia,Joven,Disco,Moderada,2.0,1,0,1,True,False,False
manga-10001-3704,134.910466734,56.8788941639,0.7250406497898995,-0.5370843047267209,-0.10799034515289702,0.2092944452328125,0.213150277760858,1.4213338913110438,0.7841432099626382,-0.09301626018574109,0.9065043654667952,0.915089518234669,-0.9845503504714455,-0.3075686636494722,-1.178532622258629,-0.8681001935932726,-11.362006919658379,-11.351472181728898,8.083453055794436,3.88,0.10249200000000003,-0.014259521703079963,0.07893671683570501,7.775171432929138,0.01053473792948001,16.200618609928647,0.8179080637998108,Intermedia,Media,Esferoidal,Pasiva,2.0,1,1,0,False,False,True
manga-10001-6101,137.041133755,57.4236117812,0.4080058842730558,-0.7106498187325313,-0.24506318263875776,1.0316209550385764,1.0320773253379991,0.7613949564057922,1.2760203609478897,-0.2461413780827603,1.1955998209522318,0.7501258288435425,0.12416798160959273,-0.4575994073829272,-1.3353640611296127,0.6107571132854402,-12.12563630843616,-11.091892074921473,8.706826760728925,3.622,0.22759399999999996,-0.017283338512678808,0.05902049399932555,9.440973520686452,1.033744233514687,17.36174347976021,0.9051482536448665,Masiva,Vieja,Esferoidal,Pasiva,3.0,2,2,0,False,False,True
